Detail,"Jan, 2026","Feb, 2026","Mar, 2026","Apr, 2026","May, 2026","Jun, 2026","Jul, 2026","Aug, 2026","Sep, 2026","Oct, 2026","Nov, 2026","Dec, 2026",,,,Late Code,
Target,942111.8600000005,,,,,,,,,,,,,,,Code,Description
Planning change,,,,,,,,,,,,,,,,1,Unscheduled
Material short,,,,,,,,,,,,,,,,2,Machine Down
Equipment Down,,,,,,,,,,,,,,,,3,Operator/Catch Unavailable
Carryover into Aug,,,,,,,,,,,,,,,,4,Waiting SPEC
Quality Issues,,,,,,,,,,,,,,,,,
Actual,942111.8600000005,0,0,0,0,0,0,0,0,0,0,0,,,,5,Waiting Deviation
KPI File,,,,,,,,,,,,,,,,6,Waiting For ENG
,,,,,,,,,,,,,,,,7,Released Late
,,,,,,,,,,,,,,,,8,No Material
Detail,"Jan, 2026","Feb, 2026","Mar, 2026","Apr, 2026","May, 2026","Jun, 2026","Jul, 2026","Aug, 2026","Sep, 2026","Oct, 2026","Nov, 2026","Dec, 2026",,,,9,Sort On  Material
Target,1086619.3,,,,,,,,,,,,,,,10,Waiting Material
Planning change,,,,,,,,,,,,,,,,11,Waiting on Sub
Material short,,,,,,,,,,,,,,,,12,Tool Unavailable
Equipment Down,,,,,,,,,,,,,,,,13,Schedule Error
Carryover into Aug,,,,,,,,,,,,,,,,14,Reworked
Quality Issues,,,,,,,,,,,,,,,,15,Production Error
Actual,1086619.3,0,0,0,0,0,0,0,0,0,0,0,,,,16,Back Order
KPI File,,,,,,,,,,,,,,,,17,RM problem
,,,,,,,,,,,,,,,,18,Machine Unavailable
,,,,,,,,,,,,,,,,19,Wrong Promised Date enter
,,,,,,,,,,,,,,,,20,Waiting from Customer
,,,,,,,,,,,,,,,,21,Late from Sterile
,,,,,,,,,,,,,,,,22,Production Late
,,,,,,,,,,,,,,,,23,New Process issues
,,,,,,,,,,,,,,,,24,Customer Service
,,,,,,,,,,,,,,,,25,Overload
,,,,,,,,,,,,,,,,26,Shipping Error
,,,,,,,,,,,,,,,,27,QC Testing Results
,,,,,,,,,,,,,,,,28,Videojet unavailable
,,,,,,,,,,,,,,,,29,No collagen available pn#005136
,,,,,,,,,,,,,,,,30,collagen failed endotoxin report 
